Sin City: A Dame to Kill For|6.5
Random Hearts|5.1
Everest|7.1
Perfume: The Story of a Murderer|7.5
Austin Powers in Goldmember|6.2
Astro Boy|6.3
Jurassic Park|8.1
Wyatt Earp|6.6
Clear and Present Danger|6.9
Dragon Blade|6.1
Littleman|4.3
U-571|6.6
The American President|6.8
The Love Guru|3.8
3000 Miles to Graceland|5.9
The Hateful Eight|7.9
Blades of Glory|6.3
Hop|5.5
300|7.7
Meet the Fockers|6.3
Marley & Me|7.1
The Green Mile|8.5
Wild Hogs|5.9
Chicken Little|5.8
Gone Girl|8.1
The Bourne Identity|7.9
GoldenEye|7.2
The General's Daughter|6.3
The Truman Show|8.1
The Prince of Egypt|7.0
Daddy Day Care|5.5
2 Guns|6.7
Cats & Dogs|5.2
The Italian Job|7.0
Two Weeks Notice|6.1
Antz|6.6
Couples Retreat|5.5
Days of Thunder|5.9
Cheaper by the Dozen 2|5.4
The Scorch Trials|6.4
Eat Pray Love|5.7
The Family Man|6.7
RED|7.1
Any Given Sunday|6.8
The Horse Whisperer|6.5
Collateral|7.6
The Scorpion King|5.5
Ladder 49|6.5
Jack Reacher|7.0
Deep Blue Sea|5.8
This Is It|7.3
Contagion|6.6
Kangaroo Jack|4.4
Coraline|7.7
The Happening|5.0
Man on Fire|7.7
The Shaggy Dog|4.4
Starsky & Hutch|6.1
Jingle All the Way|5.4
Hellboy|6.8
A Civil Action|6.5
ParaNorman|7.0
The Jackal|6.3
Paycheck|6.3
Up Close & Personal|6.1
The Tale of Despereaux|6.1
Rules of Engagement|7.3
The Tuxedo|5.3
Under Siege 2: Dark Territory|5.4
Jack Ryan: Shadow Recruit|6.2
Joy|6.6
London Has Fallen|5.9
Alien: Resurrection|6.3
Shooter|7.2
The Boxtrolls|6.8
Practical Magic|6.1
The Lego Movie|7.8
Miss Congeniality 2: Armed and Fabulous|5.0
Reign of Fire|6.2
Gangster Squad|6.7
Year One|4.9
Invictus|7.4
State of Play|7.1
Duplicity|6.2
My Favorite Martian|4.9
The Sentinel|6.1
Planet 51|6.1
Star Trek: Nemesis|6.4
Intolerable Cruelty|6.3
Trouble with the Curve|6.8
Edge of Darkness|6.6
The Relic|5.7
Analyze That|5.9
Righteous Kill|6.0
Mercury Rising|6.1
The Soloist|6.7
The Legend of Bagger Vance|6.7
Almost Famous|7.9
Garfield 2|5.0
xXx: State of the Union|4.3
Priest|5.7
Sinbad: Legend of the Seven Seas|6.7
Event Horizon|6.7
The Avengers|8.1
Dragonfly|6.1
The Black Dahlia|5.6
Flyboys|6.6
The Last Castle|6.9
Supernova|4.8
Winter's Tale|6.2
The Mortal Instruments: City of Bones|6.0
Meet Dave|4.9
Dark Water|5.6
Edtv|6.1
Inkheart|6.1
The Spirit|4.8
Mortdecai|5.5
In the Name of the King: A Dungeon Siege Tale|3.8
Beyond Borders|6.5
Xi you ji zhi: Sun Wukong san da Baigu Jing|6.0
The Great Raid|6.7
Deadpool|8.1
Holy Man|4.9
American Sniper|7.3
Goosebumps|6.4
Sabrina, the Teenage Witch|6.6
Just Like Heaven|6.7
The Flintstones in Viva Rock Vegas|3.6
Rambo III|5.7
Leatherheads|6.0
The Ridiculous 6|4.9
Did You Hear About the Morgans?|4.7
The Internship|6.3
Resident Evil: Afterlife|5.9
Red Tails|5.9
Sex and the City|7.0
The Devil's Advocate|7.5
That's My Boy|5.6
DragonHeart|6.4
After the Sunset|6.3
Ghost Rider: Spirit of Vengeance|4.3
Captain Corelli's Mandolin|5.9
Anger Management|6.7
The Pacifier|5.5
Walking Tall|6.2
Forrest Gump|8.8
Alvin and the Chipmunks|5.2
Meet the Parents|7.0
Pocahontas|6.6
Superman|7.3
The Nutty Professor|5.6
Hitch|6.6
George of the Jungle|5.4
American Wedding|6.3
Captain Phillips|7.9
Date Night|6.3
Casper|6.0
The Equalizer|7.2
Maid in Manhattan|5.1
Crimson Tide|7.3
The Pursuit of Happyness|8.0
Flightplan|6.2
Disclosure|6.0
City of Angels|6.7
Kill Bill: Vol. 1|8.1
Bowfinger|6.4
Stargate SG-1|8.4
Kill Bill: Vol. 2|8.0
Tango & Cash|6.3
Death Becomes Her|6.4
Shanghai Noon|6.6
Executive Decision|6.4
Mr. Popper's Penguins|6.0
The Forbidden Kingdom|6.6
Free Birds|5.9
Alien 3|6.4
Evita|6.3
Ronin|7.3
The Ghost and the Darkness|6.8
Paddington|7.2
The Watch|5.7
The Hunted|6.0
Instinct|6.5
Stuck on You|5.8
Semi-Pro|5.8
The Pirates! Band of Misfits|6.7
Changeling|7.8
Chain Reaction|5.6
The Fan|5.8
The Phantom of the Opera|7.4
Elizabeth: The Golden Age|6.9
Æon Flux|5.5
Gods and Generals|6.3
Turbulence|4.7
Imagine That|5.6
Muppets Most Wanted|6.4
Thunderbirds|4.2
Burlesque|6.4
A Very Long Engagement|7.7
Lolita|7.7
Eye See You|5.3
Blade II|6.7
Seven Pounds|7.7
Bullet to the Head|5.7
The Godfather: Part III|7.6
Elizabethtown|6.4
You, Me and Dupree|5.6
Superman II|6.8
Gigli|2.4
All the King's Men|6.2
Shaft|5.9
Anastasia|7.1
Moulin Rouge!|7.6
Domestic Disturbance|5.5
Black Mass|7.0
Flags of Our Fathers|7.1
Law Abiding Citizen|7.4
Grindhouse|7.6
Beloved|5.9
Lucky You|5.9
Catch Me If You Can|8.0
Zero Dark Thirty|7.4
The Break-Up|5.8
Mamma Mia!|6.3
Valentine's Day|5.7
The Dukes of Hazzard|5.1
The Thin Red Line|7.6
The Change-Up|6.4
Man on the Moon|7.4
Casino|8.2
From Paris with Love|6.5
Bulletproof Monk|5.5
Me, Myself & Irene|6.5
Barnyard|5.6
Deck the Halls|4.9
The Twilight Saga: New Moon|4.6
Shrek|7.9
The Adjustment Bureau|7.1
Robin Hood: Prince of Thieves|6.9
Jerry Maguire|7.3
Ted|7.0
As Good as It Gets|7.7
Patch Adams|6.7
Anchorman 2: The Legend Continues|6.3
Mr. Deeds|5.8
Super 8|7.1
Erin Brockovich|7.3
How to Lose a Guy in 10 Days|6.4
22 Jump Street|7.1
Interview with the Vampire: The Vampire Chronicles|7.6
Yes Man|6.8
Central Intelligence|6.6
Stepmom|6.7
Daddy's Home|6.1
Into the Woods|6.0
Inside Man|7.6
Payback|7.1
Congo|5.0
We Bought a Zoo|7.1
Knowing|6.2
Failure to Launch|5.6
The Ring Two|5.4
Crazy, Stupid, Love.|7.4
Garfield|5.0
Christmas with the Kranks|5.2
Moneyball|7.6
Outbreak|6.6
Non-Stop|7.0
Race to Witch Mountain|5.7
V for Vendetta|8.2
Shanghai Knights|6.2
